RANK,SIZE,FARM / CWS,FARMER / REPRESENTATIVE,REGION,SCORE
1,10,El Pezote,Gregorio Martinez,"Lepaera, Lempira",95.69
2,11,Dulce Nombre,Marysabel Caballero Garcia,"Chinacla, La Paz",92.83
3,10,Dulce Nombre,Ezri Moises Herrera Caballero,"Chinacla, La Paz",92.53
4,11,Mogola,Fabio Antonio Caballero,"Marcala, La Paz",91.94
5,10,Mogola,Sandra Isabel Garcia Argueta,"Marcala, La Paz",91.56
6,9,La Fortuna,Efrain Moya Villeda,"Quimistan, Santa Bárbara",90.83
7,11,Dulce Nombre,Ezri Moises Herrera Urizar,"Marcala, La Paz",89.78
8,12,La Quebradona,Adalberto Oliva Guerra,"San Fernando, Ocotepeque",88.92
9,9,Yerbabuena,Mario Orlando Solis,"San Antonio, Copan",88.44
10,9,Yaunera,Jesus Hernan Lemus,"San Pedro, Copan",87.28
11,9,Miratoro,Guillermo Suazo Martinez,"Tutule, La Paz",85.97
12,11,La Fortuna,Mario Leonel Noriega,"Quimistan, Santa Bárbara",85.89
13,9,Potrerillos,Luis Vega,"Siguatepeque, Comayagua",85.89
14,11,Quebrada del Caliche,Cesar Elpidio Montalvan,"San Francisco de La Paz, Olancho",85.81
15,10,La Sampedrana,Concepción Escoto,"Comayagua, Comayagua",85.61
16,15,El Portillo,Reyna Mercedes Claros,"San Juan, Intibuca",85.5
17,11,Nevado,Hector Adelmo Oliva,"San Fernando, Ocotepeque",85.19
18,10,Pule,Marthysabel Caballero Garcia,"San Jose, La Paz",84.92
19,15,El Portillo Grande,Ricardo Corrales,"San Marcos de Colon, Choluteca",84.75
20,12,El Roblón,Eva Alvarado Castillo,"Gualcince, Lempira",84.25
21,17,Rio Bonito,Jorge Alberto Marquez,"Siguatepeque, Comayagua",84.14
