RANK,SIZE,FARM / CWS,FARMER / REPRESENTATIVE,REGION,SCORE
1,18,La Isla,Edith Enciso Yasso,"Planadas, Tolima",93.37
2,15,El Pedregal,Libardo Chávez,"Buesaco, Nariño",92.48
3,15,El Placer,Cesar Julio Muñoz Calderon,"Planadas, Tolima",92.38
4,15,Bolivia,Fernando Canacue,"Palermo, Huila",89.75
5,18,Chirimoyo,Faiver Cardozo Salinas,"Neiva, Huila",89.58
6,15,Piedra Blanca,Jesús Anselmo Guevara,"Samaniego, Nariño",89.04
7,15,San Antonio,Jesus Antonio Salazar,"Planadas, Tolima",88.85
8,15,Hato Viejo,Alvaro Flavio Ortega,"Samaniego, Nariño",88.65
9,15,El Churo,Rodrigo Guerrero,"Rosas, Cauca",88.6
10,15,La Floresta,Orlando Babativa Ortiz,"Acevedo, Huila",88.5
11,15,San José,Ezequiel Arango Rivas,"Planadas, Tolima",88.27
12,15,El Descanso,Jesus Orlando Lopez,"La Plata, Huila",87.06
13,15,La Isla #2,Luis Alfonso Lasso,"San Antonio, Tolima",86.92
14,15,El Bergel,Alvaro Cruz,"Planadas, Tolima",86.87
15,23,El Danubio,José Gustavo Cardona Pulido,"Ibague, Tolima",86.21
16,18,Tierra Colorada,Jesús Marino Muñoz,"La Unión, Nariño",86.13
17,16,El Edén,Roberto Quijano,"Popayán, Cauca",85.94
18,15,La Mina,Franco Héctor López,"Buesaco, Nariño",85.94
19,23,La Nueva Esperanza,Nilson Audenar Arciniegas,"La Plata, Huila",85.9
20,15,Buena Vista,Regulo Martinez Rosero,"La Plata, Huila",85.81
21,18,El Helechal,Omar Antonio Pérez,"Bolivar, Cauca",85.81
22,18,El Sauce,Leonardo Arturo Guzman,"Buesaco, Nariño",85.5
23,22,Productores en Acción,Orlando Chavarro Suárez,"El Agrado, Huila",85.21
24,75,El Porvenir,Raul Duran,"Planadas, Tolima",85.06
25,15,Tola El Naranjo,José Alipio Muñoz,"La Unión, Nariño",84.9
26,15,El Progreso,María del Carmen Leiva,"Iquira, Huila",84.87
27,15,La Esmeralda,Miller Pinilla,"Planadas, Tolima",84.58
28,15,Hato Viejo Cabuyal,Nelson Antidio Melo,"Samaniego, Nariño",84.52
29,30,La Esperanza #1,Luis Victor Burbano Perilla,"Planadas, Tolima",84.44
30,30,La Esperanza #2,Omar Silva,"Planadas, Tolima",84.27
