RANK,SIZE,FARM / CWS,FARMER / REPRESENTATIVE,REGION,SCORE
1,43,Primavera,Arnulfo Leguizamo,"San Agustin, Huila",94.05
2,52,Las Mercedes,Eladio Ossa,"Acevedo, Huila",92.62
3,49,El Diamante,Nectaly Castro Velasco,"Cajamarca, Tolima",90.05
4,43,El Carmen – San Rafael,Hugo Luis Rojas,"Inza, Cauca",89.32
5,49,Alcatrax,Wilfredo Ule Vargas,"Oporapa, Huila",89.32
6,58,La Primavera,Jose Oliver Galindez,"Pitalito, Huila",89.1
7,55,El Mirador,Jose Nolvis Rodriguez,"Pitalito, Huila",88.4
8,43,Diamante,Jesus Apache,"Pitalito, Huila",88.1
9,46,San Isidro,Alfredo Baos Joaqui,"Palestina, Huila",87.72
10,113,El Mango,Alberto Vallejo Muñoz,"Not Available, Caldas",87.7
11,49,El Tolu,Manuel Duarte Orduz,"Herran, Norte De Santander",86.81
12,46,San Joaquin,Deiro Gasca,"Timana, Huila",86.81
13,55,Las Golondrinas,Celso Martinez Segura,"Pitalito, Huila",86.64
14,43,Los Olivos,Ines Perafan Piamba,"Pitalito, Huila",86.19
15,43,La Bonanza,Amparo Perdomo Astudillo,"Garzon, Huila",85.83
16,43,La Esmeralda,Libardo Piedrahita Santacruz,"Pitalito, Huila",85.83
17,43,Buenavista,Andres Collasos,"Acevedo, Huila",85.81
18,61,La Esperanza,Maria Virginia Rivera,"Berbeo, Boyaca",85.78
19,49,Los Corrales,Edison Motta,"Oporapa, Huila",85.25
20,43,El Carrizo,Edilma Piedrahita,"Pitalito, Huila",84.89
21,43,La Maria Los Naranjos,Javier Ceron Rubiano,"Pitalito, Huila",84.75
22,43,La Floresta,Parmenio Pulido,"Pitalito, Huila",84.25
