RANK,SIZE,FARM / CWS,FARMER / REPRESENTATIVE,REGION,SCORE
1,14,Los Nogales,Ricaurte Hernández,"Pitalito, Huila",91.91
2,14,Buena Vista,Jose Eivar Muñoz,"Oporapa, Huila",91.25
3,14,La Estrella,Neftalí Fajardo Salazar,"Inzá, Cauca",89.84
4,14,Diamante – Buenos Aires,José Ramón Collazos,"Acevedo, Huila",89.64
5,14,Betania,Manuel Ulcue,"Mesetas , Meta",88.98
6,14,La Carol,Luis Carlos Torres Casanova,"Pitalito, Huila",88.75
7,14,Pradera – Esperanza,Abel Bermeo,"Pitalito, Huila",87.95
8,14,Finca La Ceiba,Adriano Delgado Angarita,"Toledo, Norte Stder",86.39
9,14,El Carrizo,Edilma Piedrahita,"Pitalito, Huila",86.07
10,14,Diamante,Jesus Antonio Apache,"Acevedo, Huila",85.93
11,14,El Clavel,Luis Andres Giraldo Marín,"Jardín, Antioquia",85.89
12,14,El Progreso,Ferney Macias Joven,"El Pital, Huila",85.68
13,14,Dos Climas,Dubier Castañeda,"Chaparral, Tolima",85.25
14,14,El Saladero,Edgar Darío Tobón Tobón,"La Ceja, Antioquia",85.25
15,14,Charpeñon,Jesús Elias Rodriguez,"Pitalito, Huila",84.86
16,14,El Altico,Daniel Torres,"Pitalito, Huila",84.77
17,14,Esperanza,Laureano Carlosama Mamian,"Huila , Huila",84.77
18,14,Villa Catalina,Fredy Valencia,"San Agustín, Huila",84.75
19,14,El Diviso,Henry Cuellar Rojas,"Oporapa, Huila",84.75
20,14,Betania 2,Reinaldo Ulcue,"Mesetas, Meta",84.73
21,14,El Paraiso,Fabio Sanchez,"Cubarral, Meta",84.48
22,14,El Naranjito,Calixto Martinez Hurtado,"Moniquirá, Boyacá",84.3
23,14,Candela,Jorge Antonio Falla Puentes,"El Pital, Huila",84.18
24,14,San José,Alexander Torres,"Pitalito, Huila",84.16
25,14,La Florida,Gilberto Rojas Mosquera,"Acevedo, Huila",84.05
