RANK,SIZE,FARM / CWS,FARMER / REPRESENTATIVE,REGION,SCORE
1,44,Gallinacera-El Bado,Maria Etelvina Diaz,"Buesaco, Nariño",90.85
2,47,El Carmen,Enrique Dagua Fernandez,"Caloto, Cauca",90.43
3,44,El Galpon,Jairo Gomez Acosta,"Almaguer, Cauca",90.08
4,44,La Mina,Franco Héctor López,"Buesaco, Nariño",89.58
5,44,Monte Frio,Jose Herminzul Ninco Lara,"Hobo, Huila",89.38
6,44,La Toma,Fernando Zemanate Bambague,"San Sebastian, Cauca",89.15
7,48,Campiña,Henry Efrain Salas Rueda,"Pasto, Nariño",88.93
8,44,Chinchal,Carlos Geovany Martinez Yela,"Samaniego, Nariño",88.7
9,46,El Mañana,Carlos Trejo Velasco,"Pasto, Nariño",88.18
10,89,Guayabo,Amelio Santacruz,"Buesaco, Nariño",87.73
11,44,El Copete,Mauro Gomez Urbano,"El Tablon, Nariño",87.53
12,44,La Concordia,Jesus Antonio Benavides Gomez,"Consaca, Nariño",87.4
13,44,El Espejo,Jairo Aroca,"San Antonio, Tolima",87.38
14,70,Loma Grande,Luis Carlos Guevara Rivera,"Sotara, Cauca",87.38
15,50,La Playa,Segundo Angel Leon Villareal Gustin,"La Florida, Nariño",87.38
16,48,La Pradera,Jose Heli Guilombo Romero,"Planadas, Tolima",87.38
17,46,Piedra Santa,Deyber Garzon Ruano,"Balboa, Cauca",87.33
18,44,La Predera,Benigno Sanchez Pajoy,"Inza, Cauca",87.08
19,55,Sancie,Vicente Rene Andrade,"Samaniego, Nariño",87.08
20,56,La Placa,Aura Teresa Perez De Betancourt,"Samaniego, Nariño",86.65
21,52,La Pradera,Ramon Eraldo Manzano,"Sotara, Cauca",86.65
22,44,La Reina,Adelino Urbano Garcia,"El Tablon, Nariño",86.63
23,44,La Celenita,Diocelina Quimboa Noscue,"Corinto, Cauca",86.6
24,66,Miramar,Norbey Sambony Iles,"Bolivar, Cauca",86.38
25,44,El Meson,Carlos Mario Anacona,"San Sebastian, Cauca",86.33
26,49,Samaria,Luis Raimunno Ramos Ramos,"Pasto, Nariño",86.28
27,44,Pozo Azul,Jorge Enrique Garzon Mera,"La Florida, Nariño",86.05
28,48,San Francisco,Juan Antonio Cuastumal,"Santacruz, Nariño",86.05
29,44,La Planada,Milton Cesar Mellizo Ausecha,"La Sierra, Cauca",85.8
30,44,La Brasilia,Didimo Guzman,"Planadas, Tolima",85.78
