RANK,SIZE,FARM / CWS,FARMER / REPRESENTATIVE,REGION,SCORE
1,27,Villa Loyola,Eduardo Valencia,"Chachagui, Nariño",92.39
2,18,La Gloria,Derley Diaz Osorio,"Planadas, Tolima",91.61
3,19,El Libano,Javier Rubio,"Planadas, Tolima",91.05
4,16,El Encanto,Ninfa Cardona Sandoval,"Ibague, Tolima",89.93
5,17,Guayabal,Lisandro Quilcue,"Planadas, Tolima",89.7
6,16,El Hato,Juan Ramon Giraldo Giraldo,"Genova, Quindio",88.68
7,19,Loma Estaca,Campo Elias Ortega,"Samaniego, Nariño",88.64
8,16,Villa Hermosa,Franco Alvaro Gomez,"San Lorenzo, Nariño",87.5
9,31,La Esperanza,Florencio Lasso Mendez,"San Antono, Tolima",87.18
10,17,El Vergel,Elver Pineda,"Planadas, Tolima",86.73
11,17,Rancho Arabia,Ramiro Noreña Quintero,"Planadas, Tolima",86.55
12,17,La Esperanza,Ramiro Diaz López,"Planadas, Tolima",86.5
13,16,El Naranjito,Gloria Guerra Salazar,"La Vega, Cauca",86.43
14,17,La Esperanza,Omar Silva,"Planadas, Tolima",86.14
15,22,La Linda,Javier Ruiz,"Ibague, Tolima",85.86
16,17,Villa Liliana,Arnulfo Garcia Medina,"El Pital, Huila",85.7
17,16,Buena Vista,Silvio Angel Quipo,"Inza, Cauca",85.34
18,17,La Isla,Edith Enciso,"Planadas, Tolima",85.02
