RANK,SIZE,FARM / CWS,FARMER / REPRESENTATIVE,REGION,SCORE
1,15,La Esperanza,Isaias Cantillo Osa,"Suaza, Huila",91.5
2,15,El Cedro,Leonte Collazos Rojas,"Acevedo, Huila",91.18
3,23,San Antonio,Diogenes Muchicon Perdomo,"Inza, Cauca",91.18
4,18,Llano Grande,Jorge Rincon,"Cubarral, Meta",91.09
5,15,Las Tapias,Cosme Morales Cifuentes,"Velez, Santander",91.02
6,15,Las Brisas,Lucila Escalante,"Pitalito, Huila",89.7
7,15,La Palma,Wilmar Morales Sanchez,"Filadelfia, Caldas",89.57
8,19,Buenos Aires,José Ordoñes,"Pitalito, Huila",88.86
9,15,El Caimo,Celestino Castro Ramos,"Guadalupe, Huila",88.61
10,17,Buenos Aires 2,Oscar Alvarado,"Pitalito, Huila",88.39
11,16,El Caucho,Reinaldo Vargas Suárez,"Pitalito, Huila",87.8
12,15,El Cauchito,Libardo Cuellar,"Inza, Cauca",87.8
13,15,La Palmira,Laureano A Villamizar,"Toledo, Cucuta",87.73
14,16,Buena Vista,Ana Luz Vargas De Cuspián,"Acevedo, Huila",87.57
15,15,Santo Tomás,Eibar José Rojas,"Inza, Cauca",87.18
16,15,Caracol,Antonio María Castro,"Pitalito, Huila",87.16
17,16,La Pradera,Hernan Quintero,"Rioblanco, Tolima",86.68
18,21,Buena Vista 2,Maria Ruby Peña,"Toledo, Cucuta",86.55
19,15,San Gil,Emilio Muriel,"Cubarral, Meta",86.52
20,15,El Paraiso,Hernán Carlosama Suárez,"Acevedo, Huila",86.45
21,15,El Aljibe,Medardo Quintero Padilla,"Puente Nacional, Santander",86.27
22,15,La Cedalia,Nohemi Arenas,"Cubarral, Meta",86.09
23,18,La Esmeralda,Luis Murcia,"Cubarral, Meta",86.05
24,15,San Cayetano,Javier Rojas Pacheco,"Barbosa, Santander",85.93
25,15,Buena Vista 3,Ezequiel Perdomo Guzmán,"Garzon, Huila",85.8
26,15,Mirador,Jesus Lizcano,"Cubarral, Meta",85.75
27,15,El Diviso,Henry Cuellar Rojas,"Oporapa, Huila",85.64
28,18,El Mirador,Ramiro Marin,"Cubarral, Meta",85.61
29,15,Buena Vista 4,Luis Ivan Guerrero,"Moniquira, Boyaca",84.57
30,15,Buena Vista 5,Absalon Ariza Parra,"Barbosa, Santander",84.14
