RANK,SIZE,FARM / CWS,FARMER / REPRESENTATIVE,REGION,SCORE
1,40,La Loma,–,"Buesaco, Nariño",94.92
2,43,Placer,–,"Samaniego, Nariño",93.1
3,43,San Jose El Cidral,–,"El Tambo, Nariño",91.62
4,43,El Cairo,–,"Consaca, Nariño",90.34
5,93,El Guaico,–,"Consaca, Nariño",89.12
6,58,Roleto – El Remanso,–,"Chachagui, Nariño",88.7
7,43,Buenos Aires,–,"Planadas, Tolima",88.16
8,43,La Mina,–,"Buesaco, Nariño",88.12
9,49,La Pradera,–,"Planadas, Tolima",88.04
10,43,Guayacan-Sn.Miguel,–,"La Florida, Nariño",86.17
11,43,Vista Hermosa Casa,–,"Samaniego, Nariño",86.02
12,43,El Trigal,–,"El Tambo, Nariño",85.88
13,43,Guindal,–,"Samaniego, Nariño",85.75
14,43,El Tiestero,–,"Paez, Cauca",85.6
15,78,Los Girasoles,–,"San Antonio, Tolima",85.56
16,43,Chinchal,–,"Samaniego, Nariño",85.5
17,43,El Mañana,–,"Chachagui, Nariño",85.48
18,49,Palo Seco,–,"Yacuanquer, Nariño",85.23
19,43,Bella Vista,–,"Buesaco, Nariño",85.13
20,43,Santa Teresa,–,"Chachagui, Nariño",84.75
21,46,Las Cochas,–,"Samaniego, Nariño",84.33
