RANK,SIZE,FARM / CWS,FARMER / REPRESENTATIVE,REGION,SCORE
1,17,El Porvenir,Alejandro Florez,"Not Available, Meta",91.68
2,17,Bellavista,Javier Sanjuan Gomez,"Not Available, Huila",90.63
3,17,El Progreso,Leonte Collazos Rojas,"Not Available, Huila",90.21
4,20,Villarrica,Cenen Bambague,"Not Available, Huila",90.03
5,18,Divino Ñiño,Maria Deya Camacho,"Not Available, Huila",89.75
6,17,La Pradera-La Sivella,Ernan Quintero,"Not Available, Tolima",88.61
7,17,Providencia,Disney Alexander Corredor,"Not Available, Huila",88.29
8,17,Pueblo Rico,Luis Alfonso Torres Barrero,"Not Available, Quindio",86.93
9,17,El Mango,Alberto Vallejo Muñoz,"Not Available, Caldas",86.89
10,17,El Mirador,Ana Mary Carranza,"Not Available, Meta",86.66
11,17,La Estrella,Jorge Elias Castañeda,"Not Available, Meta",86.61
12,17,Villa Juan,German Valenzuela Gomez,"Not Available, Huila",86.57
13,18,Las Brisas Y El Tesoro,Humberto Gonzales,"Not Available, Tolima",86.32
14,18,La Esmeralda,Libardo Piedrahita Santacruz,"Pitalito, Huila",86.14
15,17,Buena Vista,Jaime Vasquez Oyola,"Not Available, Huila",86.14
16,18,San Isidro Las Mercedes,Luiz Reinoso,"Not Available, Tolima",86.05
17,17,Lusitania,Wilson Rodriguez Franco,"Not Available, Tolima",85.98
18,17,El Porvenir,Rubiangel Peña España,"Not Available, Meta",85.64
19,17,Florestales,Maximino Gutierrez,"Not Available, Tolima",85.41
20,17,Las Delicias,Uriel Antonio Chiquito,"Not Available, Risaralda",85.34
21,17,El Japón,Raul Efredy Muñoz,"Not Available, Huila",85.3
22,17,El Cacho,Tomas Rodriguez Diaz,"Not Available, Huila",85.18
23,17,Pedregal,Aldemar Gasca Rodriguez,"Not Available, Huila",85
24,17,El Cedro,Marcos Tierradentro Ciceri,"Not Available, Huila",84.8
25,17,La Florida,Maria De Los Angeles Villa,"Not Available, Meta",84.59
26,17,El Mirador,Maria Deicy Bautista Rivera,"Not Available, Huila",84.52
27,17,La Esperanza,Julio Cesar Muriel Duque,"Not Available, Meta",84.45
