RANK,SIZE,FARM / CWS,FARMER / REPRESENTATIVE,REGION,SCORE
1,17,Perla del Otun,Luis Alberto Jojoa,"Pitalito, Huila",91.48
2,16,Progreso,Neovan Manrique,"Pitalito, Huila",91.02
3,48,La Virginia,Olga Lara,"Algeciras, Huila",90.93
4,15,Dos Quebradas,Alonso Sevilla Zúñiga,"Pitalito, Huila",90.02
5,15,Porvenir,Nicolas Delgado,"Acevedo, Huila",89.12
6,15,Las Delicias,Rosa Ebenide Abella Correa,"Acevedo, Huila",89.1
7,15,La Palmita,German Caviedes Cruz,"Colombia, Huila",88.86
8,15,La Esperanza #1,Helio Francisco Rico R.,"Pitalito, Huila",88.4
9,15,La Esperanza #2,Campo Elías Benitez,"Mesetas, Meta",88.07
10,15,El bosque,Maria Mabel Castro Oviedo,"Acevedo, Huila",86.5
11,15,Florestales,Maximino Gutierrez,"Not Available, Tolima",86.15
12,25,El Mezón,Rigoberto Canacue,"Timanà , Huila",86.05
13,15,El Mirador,Jose Nolby Rodriguez Quiroga,"Pitalito, Huila",86.05
14,15,La Estrella,Manuel León,"Cubarral, Huila",85.88
15,15,La Esperanza,Omar Cárdenas,"Acevedo, Huila",85.6
16,16,Villa Tatiana,Jairo Sandoval,"Pitalito, Meta",85.58
17,15,Palo Negro,Miguel Antonio Quinayas,"Saladoblanco, Huila",85.23
18,15,El Progreso,Robert Sánchez Rico,"Elìas , Huila",85.2
19,33,El Vesubio,Leonel Hernández,"Abejorral, Antioquia",84.98
20,15,Paramito,Bertha Cardozo de Ordoñez,"San Gil, Santander",84.88
21,37,Masatlan,Hernando Saul Pineda,"Moniquirà , Boyaca",84.68
22,22,San Rafael,Samuel Porras Hurtado,"Moniquirà , Boyaca",84.33
23,15,La Alianza,Leonardo Ruíz Cardona,"Andes, Antioquia",84.08
