RANK,SIZE,FARM / CWS,FARMER / REPRESENTATIVE,REGION,SCORE
1,47,San Isidro,Alirio Aguilera Ospina,"Palestina, Huila",90.44
2,47,Las Fuentes,Mercedes Narvaez de Camacho,"Acevedo, Huila",90.29
3,52,El Silencio,Oscar Ortiz Gonzalez,"Toledo, Nte de Santander",88.76
4,47,Potrero Grande,Nancy Muñoz Ñañez,"Pitalito, Huila",88.5
5,48,El Tolu,Manuel Duarte Orduz,"Herran, Nte de Santander",88.09
6,47,San Isidro,Alfredo Baos Joaqui,"Palestina, Huila",87.85
7,47,La Falda,Jose Arcadio Caro Rueda,"Urrao, Antioquia",87.74
8,47,Campo Vello,Abellaned Carvajal Medina,"Pitalito, Huila",87.56
9,47,El Recuerdo,Carlos Mario Guamanga Villaquiran,"Pitalito, Huila",87.21
10,47,El Recuerdo,Miguel Angel Chilito,"Pitalito, Huila",87.15
11,47,Montero,Luis Eduardo Restrepo Lujan,"Giraldo, Antioquia",87
12,47,La Esperanza,Robinso Figueroa Hernandez,"Timana, Huila",86.88
13,47,Providencia,Jesús Albeiro Noguera Gómez,"Pitalito, Huila",86.56
14,47,Buena Vista,Yubely Ramirez Cruz,"Pitalito, Huila",86.44
15,47,Chorrillos,Luis Alfredo Rojas Fierro,"Garzón, Huila",86.21
16,47,El Futuro,Evelio Valderrama Chilito,"Pitalito, Huila",86.18
17,47,Diamante,Jesus Antonio Apache,"Acevedo, Huila",86.15
18,75,La Primavera,José Oliver Galindez Cerón,"Pitalito, Huila",85.79
19,47,Cedro,Faiber Santa Rivera,"Acevedo, Huila",85.68
20,47,La Esmeralda,Libardo Piedrahita Santacruz,"Pitalito, Huila",85.06
