RANK,SIZE,FARM / CWS,FARMER / REPRESENTATIVE,REGION,SCORE
1,16,Agricabv BV Calama Marka,Juan de Dios Blanco,"Calama, Calama",93.52
2,20,Golondrina,Celso Mayta,"Copacabana, Caranavi Rural y Entre Rios",93.1
3,19,Cafè Paraiso,Magali Quispe,"San Ignacio 5ta zona, Carrasco la Reserva",91.5
4,18,Ciana 1 {O},Mario Mamani,"Chojña Pampa, Carrasco la Reserva",90.74
5,21,Pico del tucan 3,Carmelo Olori,"Uchumachi, Carrasco la Reserva",90.52
6,17,Machaca {O},Virgilio Avila,"Nueva Llusta, San Lorenzo",90.26
7,19,Machaca,Teofilo Machaca,"Chojña Pampa, Carrasco la Reserva",89.67
8,17,Asocafe {O},Jose Ramos,"Amor de Dios, Taipiplaya",87.95
9,18,Pico del Tucan 2,Eduardo Tola,"Uchumachi, Carrasco la Reserva",87.43
10,18,Pico del Tucan 4,Yolanda Condori,"Uchumachi, Carrasco la Reserva",87.1
11,21,Rio Colorado {O},Evaristo Hilari,"Chijchipani, Entre Rios",86.23
12,17,Flor de San Pablo,Monica Quispe,"San Pablo primero, San Pablo",86.05
13,27,Jakaranda {O},Pascual Viscarra,"8 de septiembre, Entre Rios",85.87
14,18,Pico del Tucan,Anacleto Uluri,"San Ignacio , Carrasco la Reserva",85.7
15,17,Anditrade BV Monterrey,Valentin Choquehuanca,"Loayza, Cauca",85.43
16,16,Café llusta {O},Rufino Quispe,"Nueva Llusta, San Lorenzo",85.33
17,17,Villalobos {O},Benigno Villalobos,"Colonia 7 estrellas, Entre Rios",84.63
18,17,Café Central {O},Luis Huayhua,"Nueva Llusta, San Lorenzo",84.6
19,19,Colina Siete Estrellas {O},Emilio Castro,"Colonia 7 estrellas, Entre Rios",84.02
