RANK,SIZE,FARM / CWS,FARMER / REPRESENTATIVE,REGION,SCORE
1,24,Agrotakesi SA,Mauricio Ramiro Diez de Medina,"Yanacahi, Yungas of La Paz",93.36
2,28,Café Sima del Jaguar A,Braulio Luque Yana,"Caranavi, Yungas of La Paz",92.05
3,23,Café Monterrey,Valentin Choquehuanca Aduviri,"Caranavi, Yungas of La Paz",91.62
4,20,Café Jacaranda,Cruz Elias Choconapi,"Caranavi, Yungas of La Paz",91.38
5,21,Café Alan Coffe,Luis Yujra Arismende,"Caranavi, Yungas of La Paz",90.9
6,26,Café Central,Luis Huayhua Chiji,"Caranavi, Yungas of La Paz",90.71
7,23,Café Mondono,Carmelo Mamani Titirico,"Caranavi, Yungas of La Paz",90.17
8,27,Café Palmeiras 3,Mario Mamani Machaca,"Caranavi, Yungas of La Paz",89.12
9,29,Café Origen,Damian Huanca Flores,"Caranavi, Yungas of La Paz",87.95
10,23,Café Gelen,Ayda Titirico Hilari,"Caranavi, Yungas of La Paz",87.52
11,23,Café COACS Ltda. Aurelio,Eugenia Condori Mamani,"Caranavi, Yungas of La Paz",86.62
12,30,Café Kantuta,Rosendo Quispe Tintaya,"Caranavi, Yungas of La Paz",86.33
13,24,Café Cooperativa San Ignacio…,Anacleto Uluri Luque,"Caranavi, Yungas of La Paz",86.26
14,29,Café Primavera II,Agustina Machaca Quispe,"Caranavi, Yungas of La Paz",86.12
15,25,Café Cooperativa San Ignacio V,Juan Coaquira Mamani,"Caranavi, Yungas of La Paz",85.81
16,28,Café Wara Wara III,Lucila Isidora Quispe de Quispe,"Caranavi, Yungas of La Paz",85.6
17,23,Café Frente a Illimani II,Santusa Lucana de Mamani,"Caranavi, Yungas of La Paz",85.57
18,20,Café Flor de Mayo,Pedro Castro Conurana,"Caranavi, Yungas of La Paz",85.24
19,20,Café Golondrina,Celso David Mayta Quispe,"Colonia Copacabana, Rural Caranavi, Province of Caranavi",85.24
20,29,Café Picaflor,Valentina Flores de M.,"Caranavi, Yungas of La Paz",85.21
21,25,Café Alto Asuncion,Eleuteria Villca Salvador,"Caranavi, Yungas of La Paz",85.17
22,34,Café Rio Cumbre de la Selva,Gabriel Chura Uluri,"Caranavi, Yungas of La Paz",85.14
23,25,Café Primavera,Victor Quispe Mamani,"Caranavi, Yungas of La Paz",85
24,23,Café Oro,Teodocia Castro Conurana,"Caranavi, Yungas of La Paz",84.95
25,22,Café El Sombral,Damian W. Condori Poma,"Caranavi, Yungas of La Paz",84.81
26,28,Café Rudi,Franklin Cahuapaza Ticona,"Caranavi, Yungas of La Paz",84.69
27,31,Café Flor de Mayo I,Felipe Sacaca Diaz,"Caranavi, Yungas of La Paz",84.6
28,28,Café Sofia,Sofia Quisbert Castillo,"Caranavi, Yungas of La Paz",84.33
29,28,Café Flor Rosa,Martha Ojeda Mamani,"Caranavi, Yungas of La Paz",84.33
30,25,Café Flor de B,Sebastian Olori Huanca,"Caranavi, Yungas of La Paz",84.21
