RANK,SIZE,FARM / CWS,FARMER / REPRESENTATIVE,REGION,SCORE
1,13,Flor de Café San Ignacio,"Mario Mamani Mamani, Raymundo Yanarico","Carrasco La Reserva, Caranavi",91.5
2,12,San Ignacio,Juana Mamani Huanca,"Carrasco La Reserva, Caranavi",90.78
3,14,Nakhaki (B),Braulio Luque Yana,"Rosario Entre Rios, Caranavi",90.43
4,13,Colipampa,Nicolas Carrasco,"II Sección Irupana, Sud-Yungas",90.38
5,13,Warmisita – BV,Alejandra Ramos Ticona,"Coroico, Nor-Yungas",89.63
6,16,CENAPROC 1257,Genoveva Condori,"San Lorenzo, Caranavi",89.6
7,16,CENAPROC 0113,Luis Huayhua,"San Lorenzo, Caranavi",89.45
8,18,Amor de Dios IV,David Chambi Apaza,"Taypiplaya, Caranavi",89.13
9,13,Pico del Tucan – UTZ,Martin Uluri Luque,"Carrasco La Reserva, Caranavi",88.93
10,13,Café Inca BV,Damian Daniel Montaño Ramos,"Coroico, Nor-Yungas",88.18
11,18,Amor de Dios III,Alberto Siles Aduviri,"Taypiplaya, Caranavi",86.29
12,13,Chicaloma,Martin Huanca,"Chicaloma, Sud-Yungas",86.26
13,14,Jatum Kjari,Telmo Cahuana,"Distrito Cascada, Sud-Yungas",86.21
14,22,Polen de Café,"Porfilio Mamani Surco, Gregorio Gonza Mamani, Vicente Gonza Mamani","Carrasco La Reserva, Caranavi",86
15,22,Chijchipani,Serapio Perez Marca,"Chijchipani, Caranavi",85.89
16,12,Wara,Inocencio Mamani Cori,"Charia, Sud-Yungas",85.87
17,13,Pico del Tucan,Humberto Villca,"Carrasco La Reserva, Caranavi",85.76
18,13,Loayza BV,"Mario Condori Chino, Gonzalo Chambi, Santos Lucero limachi Paye","Santa Fé, Caranavi",85.68
19,18,Nectar,"Pablo Yana Mamani, Anacleto Uluri, Ricardo Olori","Carrasco La Reserva, Caranavi",85.55
20,18,Flor de Mayo,Pedro Castro Conurana,"Siete Estrellas, Chijchipani County, Province of Caranavi",85.53
21,17,Golondrina,"Cipriano Tórrez Blanco, Celso David Mayta Quispe","Caranavi Rural, Caranavi",85.05
22,12,Cerro Mula de Agua Dulce,Patricio Fernandez,"Carrasco La Reserva, Caranavi",84.87
23,15,Café Apolo,Angel Raimundo Pamuri Cuqueño,"Not Available, Franz Tamayo",84.63
24,13,Cerro Condoriri,Máximo Yapu Chuyma,"Calama, Caranavi",84.61
25,13,Machacamarca BV,Maria Nina Lupe del Rosario Andrade,"Chulumani, Sud-Yungas",84.5
26,21,Ciana,"Andres Ulluri Luque, Luciano Huanca Flores","Carrasco La Reserva, Caranavi",84.11
