RANK,SIZE,FARM / CWS,FARMER / REPRESENTATIVE,REGION,SCORE
1,19,CENAPROC,CENAPROC (82 farmer lot),"Caranavi, La Paz",90.44
2,18,CENAPROC,Pedro Patana,"Caranavi, La Paz",90.06
3,9,CENAPROC,"Productores Luis Huayhua, Silberio Cereso, Félix Castro","Caranavi, La Paz",89.75
4,10,Cooperativa UNION PROAGRO,Eusebio Marca Cruz,"Caranavi, La Paz",89.22
5,9,CENAPROC,"Bernardo Apaza, Lorenzo Choque","Caranavi, La Paz",88.28
6,9,AGRICABV Caranavi,"Eugenio Nina, Wilfredo Condori","Caranavi, La Paz",88.25
7,9,Cooperativa UNION PROAGRO,Andrea Hilari Condori,"Caranavi, La Paz",88.14
8,10,Cooperativa CIANA,Yolanda Lourdes Condori Chura,"Caranavi, La Paz",88.03
9,9,Valentin Choquehuanca,Valentin Choquehuanca,"Caranavi, La Paz",87.67
10,14,AGRICABV CARANAVI,"Policarpio Tarqui, Jacinto Quispe","Caranavi, La Paz",85.56
11,9,Cooperativa CIANA,Cooperativa CIANA (22 farmer lot),"Caranavi, La Paz",84.58
12,10,Anditrade,"Gumercindo Quispe, Rumualdo Álvarez","Caranavi, La Paz",84
13,11,Daniel Colque Villca,Daniel Colque Villca,"Caranavi, La Paz",84
