RANK,SIZE,FARM / CWS,FARMER / REPRESENTATIVE,REGION,SCORE
1,33,El Injerto I,El Injerto S.A,"La Libertad, Huehuetenango",$90.72
2,35,El Morito I (2015),José Roberto Monterroso Pineda,"Mataquescuintla, Jalapa",$89.78
3,46,El Socorro,CERCOL S.A.,"Palencia, Guatemala",$88.78
4,32,Miralvalle (2015),Jorge Heberto Villatoro Gómez,"San Pedro Necta, Huehuetenango",$88.65
5,43,Villaure (2015),Aurelio Villatoro Castillo,"Cuilco, Huehuetenango",$88.60
6,31,Las Macadamias,Las Macadamias S.A.,"La Libertad, Huehuetenango",$88.38
7,44,La Esperanza,Eleodoro de Jesús Villatoro López,"La Libertad, Huehuetenango",$88.25
8,37,La Colina,Emilio Antonio Medina García,"San Martin Jilotepeque, Chimaltenango",$87.93
9,31,Corral Viejo,Corral Viejo S.A.,"Sansare, El Progreso",$87.53
10,46,Rio Arriba,CERCOL S.A.,"Palencia, Guatemala",$87.40
11,45,San Guayaba,CERCOL S.A.,"Palencia, Guatemala",$86.40
12,44,San Sebastian,Agropecuaria SALFAR S.A.,"San Miguel Dueñas, Sacatepequez",$86.30
13,29,Santa Rosa Buenos Aires,Hacienda Santa Rosa Buenos Aires S.A.,"La Democracia, Huehuetenango",$86.20
14,33,La Bendicion,José Constantino Gómez Reyes,"Palencia, Guatemala",$86.13
15,34,Concepcion Pixcaya,Concepción Pixcaya S.A.,"San Juan Sacatepequez, Guatemala",$86.10
16,34,Santa Ana,Azucar y Café S.A.,"Pueblo Nuevo Viñas, Santa Rosa",$86.05
17a,39,El Guachipilin,Aimee Lucía Perez Ríos,"Acatenango, Chimaltenango",$85.97
17b,34,El Tambor,Los Moshos S.A.,"Palencia, Guatemala",$85.97
18,45,La Providencia II,Alfonso Augusto Anzueto de León,"San Pedro Necta, Huehuetenango",$85.93
19,47,Alotepeque,Mario Jordan Duarte,"Concepcion Las Minas, Chiquimula",$85.78
20,34,El Vergel,Fausto Schell Aguilar,"San Rafael Pie de la Cuesta, San Marcos",$85.72
21,42,San Isidro,Agricola San Isidro S.A.,"San Martin, Sacatepequez, Quetzaltenango",$85.50
22,34,El Platanar y Anexos (2015),Hector De la Roca Perez,"Acatenango, Chimaltenango",$85.15
23,46,El Aguacate,Jovito Arnoldo Aguilar Muñoz,"Mataquescuintla, Jalapa",$85.10
