RANK,SIZE,FARM / CWS,FARMER / REPRESENTATIVE,REGION,SCORE
1,23,Finca Leoncio,Manuel Antonio Barrantes Zuñiga,"Lourdes, Cirri, Naranjo, Valle Occidental",91.46
2,23,Finca Beneficio,Juan Ramon Alvarado,"San Francisco, San Isidro, Valle Central",90.92
3,23,Finca la Trinidad,"Luis Alberto Monge Ureña, Oscar Monge Ureña","San Isidro de León Cortéz, Tarrazú",89.82
4,34,Finca Diamante,Café de Altura San Ramon,"San Ramon, Valle Occidental",89.56
5,44,Finca Pata de Gallo / Finca…,"Luis Guillermo Ramirez Rojas, Marco Vinicio Rojas Bolaños","San Ramon, Valle Occidental",89.44
6,23,Finca El Centro,Isaias Gomez Viquez,"Getsemani de San Rafael, Heredia, Valle Central",89.42
7,23,Finca las Casas,Marco Vinicio Arrieta Brenes,"Lourdes de Cirri Naranjo, Valle Occidental",89.04
8,23,Finca la Montaña,Marlene Mayela Brenes Morera,"Lourdes de Cirri Naranjo, Valle Occidental",88.78
9,23,Finca Macho (2015),Efraín Naranjo Blanco,"Llano Bonito, León Cortés, Tarrazú",88.76
10,23,Finca Ortiz 1900,Johana Calderon Martinez,"Dota, Santa María, Tarrazú",88.44
11,28,Finca Nuestra Herencia,María Grisel Porras Vega,"Dota, Jardin, Puerto Rico, Tarrazú",87.44
12,23,Finca Santa Lucia {O},Ricardo A. Perez Barrantes,"Naranjo, Cirri Sur, Valle Occidental",87.34
13,23,Finca Monte Llano Bonito,Francisco Mena Vilchez,"Naranjo, Cirri, Lourdes, Valle Occidental",87.24
14,23,Finca el Trapiche,Efraín Naranjo Blanco,"Llano Bonito, León Cortés, Tarrazú",87.18
15,23,Finca la Granadilla,María Fernanda Calderon Castillo,"San José, Dota, Santa María, Tarrazú",87.14
16,23,Finca Vara Blanca,Marco Chacón Madrigal,"Santa María de Dota, Tarrazú",87.08
17,28,Finca Juanachute-Punta,Luis Anastasio Castro Vargas,"San Pablo de León Cortés, Tarrazú",86.98
18,23,Finca los Girasoles,María Lourdes Castillo Umaña,"San José, Dota, Santa María, Tarrazú",86.94
19,24,Finca V&G San Juanillo,"Tomas Gutiérrez A, Jorge Vargas, Allan Vargas","Naranjo San Juanillo, Valle Occidental",86.9
20,24,Finca la Montaña,"Carlos Barrantes Zúñiga, León Victor Arrieta Lobo","Lourdes de Naranjo, Valle Occidental",86.72
21,23,Finca el Vendabal,Luis Ricardo Calderon Madrigal,"San José, Dota, Santa María, Tarrazú",86.68
22,23,Finca el Bosque,Marlene Mayela Brenes Morera,"Lourdes de Cirri Naranjo, Valle Occidental",86.62
23,24,Finca Chispita,Carlos Barrantes Zúñiga,"Lourdes de Naranjo, Valle Occidental",86.58
24,23,Finca Don Evangelista,Gelberth Nanjo Vargas,"Llano Bonito, León Cortés, Tarrazú",86.44
25,23,Finca la Plaza,Gelberth Naranjo Vargas,"Llano Bonito, León Cortés, Tarrazú",86.34
26,30,Finca el Halcón (2015),Luis Enrique Navarro Porras,"Dota, Jardin, La Bandera, Tarrazú",86.28
27,23,Finca el Cedral,Luis Diego Calderon Castillo,"San José, Dota, Santa María, Tarrazú",86.14
28,23,Finca Nery,Yorleni Martinez Jimenez,"Dota, Santa María, Tarrazú",86.1
29,23,Finca Farami (2015),Juan Luis Fallas Mata,"Santa María de Dota, Tarrazú",86.04
30,23,Finca la Casa,María Lizeth Calderón Castillo,"San José, Dota, Santa María, Tarrazú",86
31,25,Finca Bendición de Dios,Annia Barrantes,"Naranjo Lourdes, Valle Occidental",85.76
32,23,Finca Doña Ileana {O},Cesar Felipa Rodriguez Villalobos,"Zarcero, Valle Occidental",85.68
33,47,Finca la Guaca,Régulo Gerardo Ureña Chacón,"Rivas, Pérez Zeledon, Brunca",85.66
34,23,Finca el Llano (2015),Héctor Bonilla Cruz,"Llano Bonito, León Cortés, Tarrazú",85.58
35,25,Finca el Quetzal,Juan Diego Hidalgo Umaña,"Santa María de Dota, Tarrazú",85.46
