RANK,SIZE,FARM / CWS,FARMER / REPRESENTATIVE,REGION,SCORE
1,19,Mpanga (I),SEGEC,"Kabuye, Kayanza, Kayanza",90
2,43,Kirema,Sogestal Kayanza,"Kayanza, Kayanza, Kayanza",89.54
3,16,Mpanga (II),SEGEC,"Kabuye, Kayanza, Kayanza",89.39
4,41,Bwayi (I),Sogestal Kayanza,"Matongo, Kayanza, Kayanza",89.07
5,41,Ramba,Sogestal Kirimiro,"Gihogazi, Karusi, Gitega",88.89
6,43,Mahonda (2014),Sogestal Kirimiro,"Buraza, Gitega, Gitega",88.71
7,44,Gahahe (I),WEBCOR,"Kayanza, Kayanza, Kayanza",88.5
8,39,Masha (I),WEBCOR,"Gatara, Kayanza, Kayanza",88.18
9,17,Kabumburi,Sogestal Mumirwa,"Kabumburi, Bururi, Bururi",88.18
10,38,Gakenke,WEBCOR,"Gatara, Kayanza, Kayanza",86.19
11,24,Nemba (2014),WEBCOR,"Kayanza, Kayanza, Kayanza",85.94
12,36,Nkondo,Sogestal Kirimiro,"Nyarusange, Gitega, Gitega",85.94
13,40,Munyinya,Munyinya Coffee,"Butanganzwa, Kayanza, Kayanza",85.91
14,40,Bwayi (II),Sogestal Kayanza,"Matongo, Kayanza, Kayanza",85.84
15,26,Buhorwa,Sogestal Kayanza,"Kayanza, Kayanza",85.81
16,37,Butegana (I),WEBCOR,"Kayanza, Kayanza, Kayanza",85.78
17,64,Masha (II),WEBCOR,"Gatara, Kayanza, Kayanza",85.72
18,41,Gitaba,Sogestal Kirimiro,"Gitaba, Rutana, Rutana",85.56
19,32,Yandaro,WEBCOR,"Kabarore, Kayanza, Kayanza",85.38
20,27,Karehe,Sogestal Kayanza,"Busiga, Kayanza, Kayanza",85.34
21,21,Kigobe,KALICO,"Kirundo, Kirundo",85.31
22,47,Ruvubu,Sogestal Kirimiro,"Shombo, Karusi, Karusi",85.09
23,42,Kibuye,Sogestal Kirimiro,"Bukirasazi, Gitega, Gitega",85.06
24,40,Gatare (2014),Sogestal Kayanza,"Rango, Kayanza, Kayanza",85.06
25,15,Butegana (II),WEBCOR,"Kayanza, Kayanza, Kayanza",85.03
26,29,Nzewe,ICOCOGE,"Kayanza, Kayanza, Kayanza",85.03
27,34,Gahahe (II),WEBCOR,"Kayanza, Kayanza, Kayanza",85
