RANK,SIZE,FARM / CWS,FARMER / REPRESENTATIVE,REGION,SCORE
1,30,Muyongwe Coffee,Elias Rwiririza,"Muyongwe, Gakenke, North",90.42
2,31,Mahembe/Nyagatare,Alexis Karemangingo,"Mahembe, Nyamasheke, West",90.13
3,27,Muhondo Coffee,Devotha Nyiramahoro,"Muhondo, Gakenke, North",89.89
4,27,Maraba I Cyarumbo/Rwashoscco,Clauthilde Nyiraminani,"Maraba, Huye, South",89.58
5,31,COOPAC/Gakenke,Epimaque Habyarimana,"Muyongwe, Gakenke, North",89.21
6,30,KOAKAKA Karambi/Rwashossco,Philippe Ntakirutimana,"Kigoma, Huye, South",89.05
7,30,Simbi Coffee,JMV Nkurikiyumukiza,"Simbi, Huye, South",88.89
8,31,Murundo CWS (Tuecher Invest…,Cyriaque Sibomana,"Mahembe, Nyamasheke, West",88.37
9,28,MICOF Muyange CWS,Anastase Muhizi,"Nyabitekeri, Nyamasheke, West",87.34
10a,27,KOPAKAMA,Hakizimana Venuste,"Mushubati, Rutsiro, West",86.92
10b,31,Rwamatamu CWS,Gaston Rutagamba,"Gihombo, Nyamasheke, West",86.92
10c,27,Rwacof/Nyamyumba CWS,Theogene Bizimana,"Nyamyumba, Rubavu, West",86.92
13,30,Nyakibanda Green Coffee,Venuste Ntezimana,"Gishamvu, Huye, South",86.87
14,28,KOAKAKA Karambi /Rwashossco,Marie Claire Munganyinka,"Kigoma, Huye, South",86.79
15a,31,Abateraninkunga Sholi,Cyprien Gasirabo,"Cyeza, Muhanga, South",86.68
15b,26,COCAGI /Rwashoscco,Andre Mayorwa,"Nzahaha, Rusizi, West",86.68
17,32,Murundo CWS (Tuecher Invest…,Elyse Rugambarara,"Mahembe, Nyamasheke, West",86.29
18a,29,Mahembe/Nyagatare CWS,Aloys Ngamije,"Mahembe, Nyamasheke, West",86.21
18b,28,Rwacof/Nyamyumba CWS,Jerome Zunguruka,"Nyamyumba, Rubavu, West",86.21
20,30,Maraba III Sovu/Rwashoscco,Ferdinand Ufiteyezu,"Huye, Huye, South",86.11
21,27,Dukundekawa…,Augustin Ruabagisha,"Ruli, Gakenke, North",85.97
22,29,COOPAC/Nyabumera,Chantal Mukangendo,"Mahembe, Nyamasheke, West",85.87
23,28,MICOF KIRAMBO,Deo Dratias Bagaragaza,"Kanjongo, Nyamasheke, West",85.74
24,27,COOPAC/Kirorero,Raphael Sebasaza,"Boneza, Rutsiro, West",85
