RANK,SIZE,FARM / CWS,FARMER / REPRESENTATIVE,REGION,SCORE
1,22,CFC Muhondo,Terimbere kawa yacu,"Muhondo, Gakenke, North",91
2,22,CWS Muyongwe/Sotkamu,Urimubenshi Antoine,"Muyongwe, Gakenke, North",90.69
3,12,Ruvumbu CWS,Abaryoshyakawa coop.,"Gihombo, Nyamasheke, Western",90.59
4,18,Vunga coffee,Vunga Coffee Coop.,"Jomba, Nyabihu, Western",89.97
5,11,Nyagatare/Mahembe,Mr.Justin MUSABYIMANA,"Mahembe, Nyamasheke, Western",89.91
6,18,KOAKAKA (I),KOAKAKA/KARAMBI,"Kigoma, Huye, South",89.75
7,18,KCC/Gashonga coffee,Gashonga coffee coop.,"Rwimbogo, Rusizi, Western",89.44
8,20,CWS Musasa/Ruli,Coop Dukundekawa,"Ruli, Gakenke, North",89.13
9,23,KCC/Gisuma coffee,Gisuma coffee coop.,"Giheke, Rusizi, Western",88.97
10,20,COOPAC Kirorero,RWAKAGARA NZUNGIZE,"Boneza, Rutsiro, Western",88.84
11,18,CWS Rushashi,Coop Abakundakawa Rushashi,"Rushashi, Gakenke, North",87.24
12,20,Sacof Rulindo,KAGIMBANYI UWIMBABAZI Maggy,"Bushoki, Rulindo, North",87.12
13,14,RWATANO,RUBAYIZA Aloys,"Gisagara, Gisagara, South",86.76
14,19,COOPAC Kabirizi,RWAKAGARA NZUNGIZE,"Kivumu, Rutsiro, Western",86.65
15,16,CAFERWA Gafunzo/Gishugi (I),Mr. Faustin MBUNDU,"Shangi, Nyamasheke, Western",86.65
16,23,CAFERWA Gafunzo/Gishugi (II),Mr. Faustin MBUNDU,"Shangi, Nyamasheke, Western",86.59
17,19,Abateraninkunga,Abateraninkunga / Sholi,"Cyeza, Muhanga, South",86.5
18,35,COOCAN Duhuzimbaraga,COOCAN coop.,"Karambi, Nyamasheke, Western",86.44
19,14,Musenyi CWS/West hills coffee,Musenyi Coffee,"Gishyita, Karongi, Western",86.44
20,17,KOAKAKA (II),KOAKAKA/KARAMBI,"Kigoma, Huye, South",86.35
21,13,Murangara CWS/RWACOF (I),Murangara CWS/RWACOF,"Mubuga, Karongi, Western",86.24
22,22,Karengera CWS/Cyiya,Mr.Aphrodis MUGAMBIRA,"Kirimbi, Nyamasheke, Western",85.82
23,22,Gitesi CWS/KOPAKIKA,Gitesi CWS/KOPAKIKA,"Gitesi, Karongi, Western",85.79
24,18,Remera/BUFCOFFEE,Bufcoffee Company,"Gasaka, Nyamagabe, South",85.74
25,20,Maraba I / Cyarumbo,Abahuzamugambi,"Maraba, Huye, South",85.68
26,21,COOCAK Kigeyo,Coop.COOKAK,"Kigeyo, Rutsiro, Western",85.41
27,11,Murangara CWS/RWACOF (II),Murangara CWS/RWACOF,"Mubuga, Karongi, Western",85.35
28,13,RWACOF Mushonyi,RWACOF Mushonyi,"Mushonyi, Rutsiro, Western",85.24
