RANK,SIZE,FARM / CWS,FARMER / REPRESENTATIVE,REGION,SCORE
1,22,Buremera Mig,Uwimana Rose,"Huye, South",92.07
2,18,Fakco-Rulindo,Nsengumuremyi Jean,"Rulindo, North",90.84
3,20,Buremera Mig,Nzirorera Lanouard,"Huye, South",89.41
4,16,Sdl Minazi Abakundakawa,Ribarimana Jean Baptiste,"Gakenke, North",89.07
5,17,SDL Muyongwe,Hagumagutuma,"Gakenke, North",89
6,19,Kabuye/Maraba Ii/Abahuza,Dusangiyumwami Pascal,"Huye, South",88.95
7,18,Bufcoffee Remera,Gakwaya Fillipe,"Nyamagabe, South",88.36
8,15,Coopac Kabirizi,Mvunabandi Bernard,"Rubavu, Western",88.07
9,21,Buremera Mig,Nzirorera Lanouard,"Huye, South",87.98
10,20,Horizon Nyamyumba,Siborurema Joseph,"Rubavu, Western",87.09
11,19,Bufcoffee Nyarusiza,Munyandainda Deo,"Nyamagabe, South",86.98
12,15,Coopac Nyamwenda,Munyakazi Anastase,"Rubavu, Western",86.26
13,20,Horizon Nyamyumba,Maniraguha Daniel,"Rubavu, Western",86.19
14,18,SDL Musasa Coffee,Hakizimana Andre,"Gakenke, North",85.9
15,16,Nyabumera Coop-Abaryoshyakawa,Hategika Francois,"Nyamasheke, Western",85.9
16,17,Murera Mig,Nkurunziza Eugene,"Huye, South",85.86
17,19,Horizon Mushonyi,Twizerimana Ismael,"Rutsiro, Western",85.76
18,18,Bufcoffee Nyarusiza,Nkundiye Innocent,"Nyamagabe, South",85.55
19,15,Sovu/Maraba III/Abahuzamugambi,Nyilimana Bernard,"Huye, South",85.38
20,22,Kabuye/Maraba Ii/Abahuza,Bitwayiki Vincent,"Huye, South",85.17
21,16,SDMLJ,Kajuga Tenedole,"Rusizi, Western",84.83
22,16,Mig Kibumbwe,Mihigo Patrice,"Nyamagabe, South",84.74
23,18,Bufcoffee Nyarusiza,Ruhirwa Pascal,"Nyamagabe, South",84.5
24,16,Coopac Kirorero,Nayikoziki Felecien,"Rubavu, Western",84.48
