RANK,SIZE,FARM / CWS,FARMER / REPRESENTATIVE,REGION,SCORE
1,20,Los Delirios,Daniel Canales,"Pueblo Nuevo, Esteli",91.4
2,20,15 de Septiembre,David Izaguirre,"San Juan de Río Coco, Madriz",91.27
3,21,Laureano Flores,Trinidad Padilla,"Condega, Esteli",90.9
4,18,La Estrella,Flora del Socorro Montenegro Blandón,"Jinotega, Jinotega",90.5
5,25,Lozahoren,Pablo Vanegas Z.,"Dipilto, Nueva Segovia",89.92
6,18,Los Pinos,Eulalio Muñoz Figueroa,"San Ramon, Matagalpa",89.46
7,25,Cantagallo,Sanatana Lopez I.,"Condega, Esteli",89.15
8,30,El Regreso,Bernabé García,"Jinotega, Jinotega",88.79
9,22,Jose Alfredo Zeledon,Edmundo Lopez,"San Juan de Rio Coco, Madriz",88.44
10,17,Santa Guadalupe,Jaime Rosales Pasquier,"Tomayunca, Jinotega",88.07
11,21,El Bosque,Claudia Herrera Vallejos,"La Dalia, Matagalpa",85.95
12,14,Finca Santa Lucia,Roger Rodriguez Cruz,"Pueblo Nuevo, Esteli",85.89
13,12,La Cuesta,Elvis Javier Rodriguez Portillo,"an Jose del Ojoche, Madriz",85.87
14,25,15 de Septiembre,Aristides Miranda,"San Juan de Rio Coco, Madriz",85.73
15,30,La Esperanza,Jose A. Zeledon Centeno,"San Juan de Rio Coco, Madriz",85.61
16,16,El Canton,Cooperativa Sofio Sanchez,"Matagalpa, Matagalpa",85.55
17,24,Nueva Esperanza,Leonel de Jesus Valladares,"Dipilto, Nueva Segovia",85.5
18,23,Los Laureles,Rosa Emelia Cáceres Sauceda,"Dipilto, Nueva Segovia",85.46
19,20,Los Cipreses de Loma Fria,Emilio Gutierrez,"Dipilto, Nueva Segovia",85.44
20,16,Los Milagros de Santa Martha,Oscar y Azucena Gutierrez Zuniga,"Comarca de Aranjuez, Matagalpa",84.89
21,17,Isla Peñas Blancas,Agropecuaria Alfonso Nuñez,"La Dalia Matagalpa, Matagalpa",84.86
22,28,La Colonia,Isidro Leon York,"Jinotega, Jinotega",84.83
23,17,Hacienda La Florida,Roberto y Salvador Rosales Cuadra,"San Ramón, Matagalpa",84.83
24,27,La Mia / La Purisima / Santa…,Filena Chavarria / Mario Perez/ Marco Guido,"Jinotega, Jinotega",84.4
25,28,La Copa,Noe Ortez,"Dipilto, Nueva Segovia",84.39
26,21,San Ramón,Antolín García Polanco / Genaro Rizo,"Jinotega, Jinotega",84.31
27,32,Buena Vista,Santos Demetrio Bautista Gutiérrez,"Segovia, Nueva Segovia",84.18
28,19,El Consuelo,Danilo Gonzalez / APPCO,"San juan del Rio Coco, Nueva Segovia",84.03
29,43,Monte Libano,Carlos Maldonado,"Nueva Segovia, Nueva Segovia",84.01
