RANK,SIZE,FARM / CWS,FARMER / REPRESENTATIVE,REGION,SCORE
1,35,La Guadalupana,Napoleon Tercero Gomez / Miguel Angel Martinez Morazan,"Dipilto, Nueva Segovia",91.13
2,35,Los Congos,Jose Rene Paguaga Midence,"San Fernando, Nueva Segovia",89.8
3,35,San Francisco,Fausto Alberto Averruz Ponce,"Macuelizo, Nueva Segovia",89.03
4,37,Providencia,Marlene Galo Perez,"Dipilto, Nueva Segovia",88.7
5,35,La Tormenta,Francisco Irene Olivera Ruiz,"Dipilto, Nueva Segovia",88.43
6,41,Bella Aurora,Joaquin Augusto Lovo Lopez,"Dipilto, Nueva Segovia",88.17
7,44,Nueva Esperanza,Jorge Luis Ortez Urbina,"Jalapa, Nueva Segovia",88.03
8,35,San Antonio,Jose Raul Molina Lopez,"San Juan, Madriz",87.87
9,36,La Ampliación,Maycon Yader Montenegro López,"Dipilto-El Volcán, Nueva Segovia",87.77
10,35,Santa Gema,Mario Jose Vilchez Urbina,"Mozonte, Nueva Segovia",87.53
11,35,El Porvenir,Manuel Gonzalez Ponce,"Macuelizo, Nueva Segovia",86.53
12,74,Hacienda Santa Rosa,Francisco Jose Lanzas Monge,"Matagalpa, Matagalpa",86.3
13,35,Monte Cristo,Jaime Jose Molina Fiallos,"Somoto, Madriz",86.13
14,35,Oro Verde / La Esperanza,Bismar Pastrana Perez / Carlos Alexander Lopez Pastrana,"Mozonte, Nueva Segovia",86
15,39,La Española,Rene Martin Paguaga Buitrago,"San Fernando, Nueva Segovia",85.87
16,38,Agua Sarca,Isacio Javier Albir Vilchez – R. L Gustavo Adolfo Martinez Irias,"Dipilto, Nueva Segovia",85.77
17,36,La Picona,Olga Marina González Cuadra,"Nueva Segovia, Las Manos, Dipilto, Nueva Segovia",85.67
18,35,Casas Viejas,Norman Ramon Paguaga Gonzalez,"Dipilto, Nueva Segovia",85.5
19,35,El Recuerdo,Jose Efrain Espinalez Bautista,"Dipilto, Nueva Segovia",85.27
20,35,La Sabatina / Los Angeles /…,Amelia Del Socorro Isaguirre Castellano / Pastora Peralta Sequeira / Maria Catalina Rodas,"Dipilto, Nueva Segovia",85.1
21,40,Buena Vista,"Rl – Uca Soppexcca, Prod – Ana Julia Y Marlon Jose Montenegro Blandon","Jinotega, Jinotega",84.9
22,38,San Alberto,Jorge Armando Chaves Gutierrez,"El Zapotillo, Jinotega",84.87
23,35,Linda Vista,Antonio Galo Sanchez,"Dipilto, Nueva Segovia",84.77
24,35,San Antonio,Label Arturo Sarantes Ortez,"Jalapa, Nueva Segovia",84.73
25,35,El Traslado,Uriel Antonio Castellano Paguaga,"Dipilto, Nueva Segovia",84.53
26,35,El Naranjo Dipilto,Luis Emilio Valladarez,"Dipilto, Nueva Segovia",84.4
27,37,Los Jilgueros,Henry Enmanuel Padilla Casco,"Somoto, Madriz",84.07
