RANK,SIZE,FARM / CWS,FARMER / REPRESENTATIVE,REGION,SCORE
1,28,Coop. La Unión,"Salatiel Zavala,Vicente Colindres, Misael Sauceda, Rosa Ines Rubio","Dipilto, Nueva Segovia",91.3
2,28,Las Nubes,Reginaldo Castellón Paguaga,"Dipilto, Nueva Segovia",91.2
3,33,Los Cipres,Domingo de Jesus Herrera Ruiz,"Dipilto, Nueva Segovia",89.66
4,15,Coop.22 Septiembre,Coop.22 de Septiembre- Rene Dávila,"Esmeralda, Jinotega",89.43
5,20,Coop. Luis Alberto Vásquez {O},"Teofilo Cesar Torrez, Mario Torrez","Somoto, Madriz",88.7
6,24,Coop. Lazahoren {O},"Eduardo Rodríguez, Dionisio Rodríguez, Juan Zuniga","Dipilto, Nueva Segovia",88.32
7,32,El Rosario,Maria Teresa Tercero Alfaro,"Mozonte, Nueva Segovia",88.23
8,24,La Esperanza,José Armando Zeledón Centeno,"San Juan de Rio Coco, Madriz",88
9,15,La Pinauete,Porfirio Sauceda Valladares,"Dipilto, Nueva Segovia",87.98
10,15,Los Pirineos,Euduro Guillen González,"Dipilto, Nueva Segovia",86.36
11,27,La Fátima,Olimpia Rodríguez de Bárcenas,"Las Nubes, Matagalpa",85.98
12,15,Las Termopilas,Milton Canales,"Pueblo Nuevo, Esteli",85.98
13,18,La Nueva,"Juan J Montenegro,Oscar Antonio Montenegro","San Pedro de Buculumay, Jinotega",85.48
14,17,Coop.San Antonio {O},"Noel U. Martínez, Victor Hugo Huete, Celso A Pérez","Somoto, Madriz",85.36
15,16,Coop. José Alfredo Zeledón {O},"Otilio Sánchez Molina, Francisco Zeledón V, Tranquilino Matey","San Juan de Rio Coco, Madriz",85.3
16,28,La Quimera,María Lourdes Arguello,"Las Nubes, Matagalpa",85.3
17,19,Los Tres Laureles,Narciso Gabriel Gadea Paiuas,"El Consuelo, Jinotega",85.16
18,23,Coop. Laureano Flores {0},"Marlene C.Galeano, Carmen D.Martinez, Fidel Gonzalez P., Trinidad Padilla","Condega, Esteli",85.14
19,16,San Pablo {O},Cooperativa Pedro Altamirano,"Guanacastillo, Nueva Segovia",85
20,31,El Guayabo,Lino Paguaga Figueroa,"La Tablazon, Nueva Segovia",84.93
21,21,San Martin,Adolfo Omar Guadamuz Ortez,"Jalapa, Nueva Segovia",84.91
22,16,La Estrella,Flora del Socorro Montenegro,"San Pedro de Buculumay, Jinotega",84.82
23,16,Alemania,María. Filomena González,"Lipululo, Jinotega",84.8
24,20,San Antonio,Rosa Emilia Lumbi Altamirano,"El Consuelo, Jinotega",84.77
25,23,El Carmen {O},Nicolas Rosales,"Pueblo Nuevo, Esteli",84.75
26,15,Villa Fontana,Daniel Matute López,"Ocotal, Nueva Segovia",84.68
27,29,San Carlos,José Rigoberto Ponce Medina,"Tepesomot, Madriz",84.68
28,15,La Luna,Abelino Cruz Amador,"Jalapa, Nueva Segovia",84.57
29,15,La Fuente,Pascual de Jesus Marin,"Dipilto, Nueva Segovia",84.57
30,24,Coop. Lazahoren {O},"Santos Rodriguez, Victor Caceres, Ismael Rodriguez, Donal Zuniga","Dipilto, Nueva Segovia",84.48
31,17,Las Brisas II,Bernardo Antonio Lopez Zelaya,"Los Cerrones, Jinotega",84.39
32,19,Coop. Ramón Pineda,"Gumercindo Borjas, Roberto Maldonado, Luis A. Castellano","Nueva Segovia, Yoro",84.36
33,26,La Copa,Noe Ortez,"Dipilto, Nueva Segovia",84.14
34,21,Coop. Cantagallo {O},"Timoteo Padilla López, Angela Quintero T., Constantino Martinez, Lucila Cruz Calderón","Condega, Esteli",84.14
35,26,Coop. Zacarias Padilla {O},"Arnoldo Vilchez V., Maria Guerrero, Rosa Romero","Telpaneca, Madriz",84.07
