RANK,SIZE,FARM / CWS,FARMER / REPRESENTATIVE,REGION,SCORE
1,44,Hacienda Santa Rosa,Francisco José Lanzas Monges,"Matagalpa, Matagalpa",95.19
2,15,La Esperanza,Armando Zeledón Centeno,"San Juan Río Coco, Madriz",93.14
3,15,La Pradera,David Ariel Lovo Gutierrez,"Dipilto, Nueva Segovia",93.06
4,18,Cooperativa La Unión,Cooperativa La Unión / PRODECOOP,"La Laguna, Nueva Segovia",91.83
5,37,Santa Marta,Otto William Zamora Pastora,"Jinotega, Jinotega",90.89
6,11,La Providencia,Carmen Lorena Centeno Gadea,"Jalapa, Nueva Segovia",89.78
7,13,Indirita,Marianela de Pérez,"Jinotega, Matagalpa",89.67
8,40,El Balcón,R. Gadea / R. Romero / Cooperativa Corcasan,"San Juan de Rio Coco, Madriz",89.64
9,13,"Linda Vista, San Miguel, Palo…",Asociación Aldea Global Jinotega,"La Laguna, El Salto, Palo Blanco, Jinotega",89.06
10,15,Santa Rosa,Santos Raúl Borges Montenegro,"Dipilto, Nueva Segovia",88.04
11,19,"Santa Martha, Providencia","Cooperativa Flor de Pino R.L., Providencia","San Rafael del Norte, Jinotega",85.61
12,18,Santa Teresita,Sara Gadea de Centeno,"Dipilto, Nueva Segovia",85.61
13,15,La Esperanza,Elio Mauricio Chavarría Pineda,"Jinotega, Jinotega",85.56
14,33,La Sultana,Rene Dávila / Cooperativa 22 de Septiembre,"Jinotega, Jinotega",85.44
15,13,"Los Cerrones, La Divina…","Cooperativa Flor de Pino R.L., Chagüitones","San Rafael del Norte, Jinotega",85.06
16,17,La Canada,Luis Alberto Peralta Mantilla,"Dipilto, Nueva Segovia",84.92
17,17,"El Porvenir, El Tesoro","Cooperativa Flor de Pino R.L., El Diamante","San Rafael del Norte, Jinotega",84.89
18,22,Kilimanjaro II,Emma Noguera de Altamirano / SOPPEXCCA,"Jinotega, Jinotega",84.83
19,14,Santa Fe,Rosalío Medina Mejía,"Dipilto, Nueva Segovia",84.83
20,93,Hacienda Santa Cleotilde,Marina Cisne de Anzoátegui,"Matagalpa, Matagalpa",84.75
21,15,"Los Angeles, La Esperanza, La…",Cooperativa Las Brumas R.L. / CECOCAFEN,"Jinotega, Jinotega",84.67
22,18,Santa Martha,Teresa Benavidez Midence,"Pueblo Nuevo, Estelí",84.58
23,20,Cooperativa Zacarías Padilla,Cooperativa Zacarías Padilla / PRODECOOP,"Telpaneca, Madriz",84
24,13,San Francisco,Rene Gadea Castellón,"Jinotega, Jinotega",83.97
25,16,La Sabatina,Róger Vásquez Luquez / Pueblos en Acción,"Dipilto, Nueva Segovia",83.78
26,27,Santa Maura,Martha y Jorge Armando Chávez,"Jinotega, Jinotega",83.69
27,79,Casa Blanca,Noè Ortez,"Dipilto, Nueva Segovia",83.64
28,16,Linda Vista,Jaime Lovo Moncada,"Dipilto, Nueva Segovia",83.53
29,17,Cooperativa Laureano Flores,Cooperativa Laureano Flores / PRODECOOP,"Condega, Estelí",83.5
30,25,"Los Placeres, La Curva",Apolonio Gutiérrez / Julio Chavarría / SOPPEXCCA,"Jinotega, Jinotega",83.31
31,14,Los Cipreses,Oscar Danilo Mantilla Midence,"Dipilto, Nueva Segovia",83.14
32,10,El Rosario,María Auxiliadora Herrera,"Jinotega, Jinotega",83.11
33,17,Las Flores,Gonzalo A. Castillo Moreno,"Pueblo Nuevo, Estelí",82.08
34,22,El Cantón,Cooperativa Sofío Sánchez / CECOCAFEN,"San Ramón, Matagalpa",81.92
35,27,El Limón,Agustina González Centeno / SOPPEXCCA,"Los Alpes, Jinotega",81.64
36,32,San Cayetano,Evenor Centeno Chavarría,"Jinotega, Jinotega",80.89
37,22,Santa Rita,Oscar de Jesús Rivera Palacios,"Jinotega, Jinotega",80.25
